name,stars,url,default-branch,default-branch-commit-cnt,has_main_master_trunk,develop-name,develop-commit-cnt,develop-name2,develop-commit-cnt2
iptv,82084,https://github.com/iptv-org/iptv,master,30206,True
tailwindcss,80645,https://github.com/tailwindlabs/tailwindcss,next,5381,True
pytorch,80574,https://github.com/pytorch/pytorch,main,75800,True
Awesome-Hacking,80434,https://github.com/Hack-with-Github/Awesome-Hacking,master,119,True
animate.css,80223,https://github.com/animate-css/animate.css,main,664,True
neovim,80205,https://github.com/neovim/neovim,master,30235,True
tauri,79981,https://github.com/tauri-apps/tauri,dev,4712,False,dev,4712
realworld,79870,https://github.com/gothinkster/realworld,main,955,True
ollama,79285,https://github.com/ollama/ollama,main,3164,True
django,78098,https://github.com/django/django,main,32760,True
every-programmer-should-know,77882,https://github.com/mtdvio/every-programmer-should-know,master,284,True
nvm,77788,https://github.com/nvm-sh/nvm,master,2188,True
excalidraw,77615,https://github.com/excalidraw/excalidraw,master,3483,True
svelte,77589,https://github.com/sveltejs/svelte,main,8919,True
laravel,77581,https://github.com/laravel/laravel,11.x,7052,True
bitcoin,77265,https://github.com/bitcoin/bitcoin,master,41683,True
yt-dlp,77260,https://github.com/yt-dlp/yt-dlp,master,22644,True
opencv,77069,https://github.com/opencv/opencv,4.x,34408,True
gin,76959,https://github.com/gin-gonic/gin,master,1782,True
models,76802,https://github.com/tensorflow/models,master,9423,True
mall,76660,https://github.com/macrozheng/mall,master,1033,True
app-ideas,76550,https://github.com/florinpop17/app-ideas,master,536,True
FiraCode,76195,https://github.com/tonsky/FiraCode,master,596,True
advanced-java,75227,https://github.com/doocs/advanced-java,main,756,True
LeetCodeAnimation,75182,https://github.com/MisterBooo/LeetCodeAnimation,master,246,True
spring-boot,73800,https://github.com/spring-projects/spring-boot,main,49742,True
hugo,73795,https://github.com/gohugoio/hugo,master,8425,True
fastapi,73679,https://github.com/tiangolo/fastapi,master,4401,True
Font-Awesome,73363,https://github.com/FortAwesome/Font-Awesome,6.x,23,True
awesome-mac,73321,https://github.com/jaywcjlove/awesome-mac,master,2049,True
ChatGPT-Next-Web,73090,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,main,2150,True
bun,72172,https://github.com/oven-sh/bun,main,10089,True
json-server,72035,https://github.com/typicode/json-server,main,965,True
awesome-vue,71561,https://github.com/vuejs/awesome-vue,master,5152,True
core,70003,https://github.com/home-assistant/core,dev,80395,True,dev,80395
netdata,69670,https://github.com/netdata/netdata,master,18249,True,develop,13367
supabase,69603,https://github.com/supabase/supabase,master,28597,True
mermaid,69302,https://github.com/mermaid-js/mermaid,develop,10568,True,develop,10568
awesome-interview-questions,69208,https://github.com/DopplerHQ/awesome-interview-questions,master,449,True
elasticsearch,68688,https://github.com/elastic/elasticsearch,main,78672,True
rustdesk,68654,https://github.com/rustdesk/rustdesk,master,9668,True
ML-For-Beginners,68388,https://github.com/microsoft/ML-For-Beginners,main,1659,True
moby,68219,https://github.com/moby/moby,master,49634,True
Front-End-Checklist,68003,https://github.com/thedaviddias/Front-End-Checklist,master,703,True
node,67802,https://github.com/base-org/node,main,115,True
gpt4all,67558,https://github.com/nomic-ai/gpt4all,main,1963,True
reveal.js,67345,https://github.com/hakimel/reveal.js,master,3143,True,dev,2823
flask,67104,https://github.com/pallets/flask,main,5300,True
swift,67021,https://github.com/swiftlang/swift,main,170219,True
github-readme-stats,66838,https://github.com/anuraghazra/github-readme-stats,master,1333,True
stable-diffusion,66766,https://github.com/CompVis/stable-diffusion,main,33,True
code-server,66675,https://github.com/coder/code-server,main,3820,True
funNLP,66366,https://github.com/fighting41love/funNLP,master,159,True
vite,66233,https://github.com/vitejs/vite,main,6862,True
awesome-for-beginners,66191,https://github.com/MunGell/awesome-for-beginners,main,462,True
cs-video-courses,66047,https://github.com/Developer-Y/cs-video-courses,master,380,True
nest,65869,https://github.com/nestjs/nest,master,16150,True
redis,65722,https://github.com/redis/redis,unstable,12192,False
devops-exercises,65012,https://github.com/bregman-arie/devops-exercises,master,757,True
whisper,64821,https://github.com/openai/whisper,main,136,True
ui,64737,https://github.com/shadcn-ui/ui,main,424,True
protobuf,64672,https://github.com/protocolbuffers/protobuf,main,18116,True
v2rayN,64635,https://github.com/2dust/v2rayN,master,1339,True
awesome-machine-learning,64519,https://github.com/josephmisiti/awesome-machine-learning,master,1951,True
HowToCook,64516,https://github.com/Anduin2017/HowToCook,master,2237,True
express,64431,https://github.com/expressjs/express,master,5844,True,develop,5777
webpack,64347,https://github.com/webpack/webpack,main,17053,True
playwright,64155,https://github.com/microsoft/playwright,main,12863,True
Chart.js,64026,https://github.com/chartjs/Chart.js,master,4514,True
awesome-react,63451,https://github.com/enaqx/awesome-react,master,1989,True
sway,62917,https://github.com/FuelLabs/sway,master,2913,True
interviews,62867,https://github.com/kdn251/interviews,master,445,True
33-js-concepts,62712,https://github.com/leonardomso/33-js-concepts,master,791,True
fzf,62412,https://github.com/junegunn/fzf,master,2878,True
syncthing,62407,https://github.com/syncthing/syncthing,main,7449,True
gpt_academic,62288,https://github.com/binary-husky/gpt_academic,master,2151,True
llama.cpp,61907,https://github.com/ggerganov/llama.cpp,master,3423,True,dev,48
strapi,61888,https://github.com/strapi/strapi,develop,33937,True,develop,33937
ansible,61863,https://github.com/ansible/ansible,devel,54500,False
the-algorithm,61763,https://github.com/twitter/the-algorithm,main,30,True
resume.github.com,61725,https://github.com/resume/resume.github.com,master,263,True
grafana,61685,https://github.com/grafana/grafana,main,52514,True
hoppscotch,61639,https://github.com/hoppscotch/hoppscotch,main,5306,True
javascript-questions,61413,https://github.com/lydiahallie/javascript-questions,master,1374,True
keras,61348,https://github.com/keras-team/keras,master,10834,True
cpython,61207,https://github.com/python/cpython,main,123008,True
manim,60790,https://github.com/3b1b/manim,master,5894,True
superset,60768,https://github.com/apache/superset,master,15601,True
system-design-101,60712,https://github.com/ByteByteGoHq/system-design-101,main,23,True
redux,60655,https://github.com/reduxjs/redux,master,3966,True
socket.io,60602,https://github.com/socketio/socket.io,main,7549,True
Ventoy,60574,https://github.com/ventoy/Ventoy,master,1075,True
atom,60088,https://github.com/atom/atom,master,38533,True
nocode,60044,https://github.com/kelseyhightower/nocode,master,4,True
Best-websites-a-programmer-should-visit,59950,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,master,1232,True
tesseract,59806,https://github.com/tesseract-ocr/tesseract,main,6418,True
echarts,59735,https://github.com/apache/echarts,master,9364,True
markdown-here,59583,https://github.com/adam-p/markdown-here,master,807,True
architect-awesome,59498,https://github.com/xingshaocheng/architect-awesome,master,307,True
d2l-zh,59464,https://github.com/d2l-ai/d2l-zh,master,4116,True
